Abbr,Explication EN,Explication FR,Remarques
(number)IN,Infantry group,Groupe d’infanterie
BDE,Brigade,Brigade
Beaten zone,Area where spread of rounds fired,Zone de combat
BFT,Blue Force Tracking: identifying friendly forces in area,Repérage des forces amies
BG,Brigadier General,Brigadier général
Blue forces,Nato/ISAF forces,force de l’OTAN et de l’ISAF
Blue on Blue,Friendly fire,Tirs amis
BN,Battalion,Bataillon
BP,Blood Pressure,Pression sanguine
BPT,Be [ing] prepared to,Être préparé à
BRF,Brigade Reconnaissance Force,Brigade de reconnaissance (UK)
BSN,(Camp) Bastion,Bastion
BSSM,Border Security Subcommittee Meeting,Réunion sur la sécurité des frontières,http://paktribune.com/news/print.php?id=168895
BTG,Basic target graphic,Imagerie d’acquisition de cibles,http://www.fas.org/irp/doddir/usaf/afpam14-210/part12.htm#page94
BTIF,Bagram theatre internment facility,Centre de détention de Bagram,http://en.wikipedia.org/wiki/Bagram_Theater_Internment_Facility
BTL,Battalion,Bataillon
buzz saw,Signalling method by waving light stick in circle,Méthode de signalisation par signaux lumineux circulaires
C//NF,Confidential; no foreign nationals,Confidentiel; citoyens étrangers exclus
C/S,Call sign,,plusieurs possibilités pour CS ? : http://www.dtic.mil/doctrine/dod_dictionary/acronym/c/12494.html
CAS,Close air support,Support aérien rapproché
CASEVAC,Casuality Evacuation,Évacuation médicale,A la différence de MEDEVAC; le véhicule de transport n'est pas médicalisé ni standard
CAT C,Category C patient - priority,Patient de catégorie C - priorité
CCA,carrier-controlled approach,Manoeuvre d'approche pour avions guidés depuis un bateau,manoeuvre d’approche pour les avions guidés par une tour de contrôle sur transporteur (bateau) par opposition à une tour de contrôle au sol
CCIR,commander’s critical information requirements,Informations essentielles exigées par le Commandement
CD,Command,Commandement
CDN,Canadian,Canadien
CDR,Commander,Commandant
CEXC,Combined Explosives Exploitation Cell,Unité d'analyse des EID
CF,Coalition Forces,Forces de la coalition
CG,Coldstream Guards,Régiment d’infanterie de l’armée britannique,http://fr.wikipedia.org/wiki/Coldstream_Guards
CGBG,Coldstream Guards Battle Group,Groupe de combat Coldstream (UK)
cgbg 1 coy,1 company; Coldstream Guards battle group,1 compagnie du groups de combat Coldstream (UK) 
CHOPS,Chief of Operations,Chef des opérations
CI,Counter Intelligence,Contre-espionnage
CIV,Civilian,Civil
CIVCAS,Civilian casualties,victimes civiles
CJ2,US intelligence and security command; afghanistan,Commandement des services secrets et de la sécurité US; afghanistan
CJ3,Joint special ops,Les forces spéciales  
CJSOTF,combined joint special operations task force,Les forces spéciales alliées 
CJTF,Combined Joint Task Force,Les forces alliées
CJTF-82,Combined Joint Task Force-82: HQ of US Forces in ISAF and Regional Command East; March 2007-April 2008,,Je suis persuadé de la nécessité de cette trad --- add : la CJTF82 fait partie intégrante de l'ISAF (défn°149) HQ (=quartier général) US forces (=forces américaines)....
CLP,Combat logistics patrol [supply convoy],Convoi de ravitaillement,convoi de ravitaillement (logistics = dans ce contexte : transport de matériel militaire; de personnes)
CO,Commanding officer,Commandant
CoP,Chief of Police,Chef de la police
COP,Combat outpost,poste-avancé de combat
COY,Company,Compagnie
CP,Check point,Point de contrôle
cpt,Captain,Capitaine
Csh,combat support hospital,poste médical avancé ,un hôpital de terrain - mobile - en soutien aux troupes
CTC,? counterterrorist center,ou Cargo Transfer Company ?,http://www.dtic.mil/doctrine/dod_dictionary/?zoom_query=CTC&zoom_sort=0&zoom_per_page=10&zoom_and=1
CWIED,Command Wire Improvised Explosive Device,bombe artisanale commandée à distance,même chose que IED (n°137) mais à distance
DBC,database code,code de la base de données
DC,District Centre,Centre du district,(sous entendu Centre de commande ?) 
DEG,Degree,Degré
DET,Detachment / Detainee,Détachement / Prisonnier
DF,Direct fire,Tirs directs
DOI,Date of incident,Date de l’incident
DoS,Department of State,Département d’état
DOW,Died of wounds,Mort de ses blessures,"Je n'ai pas encore trouvé la signification (ligne 75 sur le document excel du guardian:  ""4 DOW at unspecified location"") ------- add : dow = Died Of Wounds; décédé suite à ses blessures (peut aussi signifier ""data orderwire"" mais dans le contexte du doc excel Guard que tu mentionnes; j'opte pour Died of wounds !)"
DSHKA,Soviet-origin heavy machine gun,Mitrailleuse lourde d’origine soviétique
ECP,entry control point,Point de contrôle d’entrée (zone)
EKIA,Enemy killed in action,Ennemis tués au combat
Element,"Part of a task force e.g. ""Puma element"" = part of Task Force Puma","Partie d’une force d’intervention; par exemple ""element Puma"" = une partie de la force d’intervention Element Puma"
ENG BDE,Engineer Brigade,Brigade d’ingénieurs
EOC,Emergency Operation Centre,Centre de coordination des opérations d’urgence
EOD,Explosive Ordnance Disposal [bomb defuser],démineur,il s’agit de se désamorcer des armes qui n’ont pas détonné-explosé
eof,Escalation of Force [also ’exchange of fire’],echanges de coups de feu
EST,Estimate,Estimé
ETA,Estimated Time of Arrrival,Estimation de l'heure d'arrivée
ETT,embedded training team,Equipe d’entrainement embarquée
evac,Evacuation,Évacuation
EVACD,Evacuated,Évacué
F-15,Fighter /bomber,avion de combat/avion de bombes
FB,"Forward Base (context -""Do China FB"")",Base avancée ??
FF,Friendly Forces,Forces amies
FFIR,Friendly Forces Information Requirement,Demande d’info sur le statut des forces amies,http://www.dtic.mil/doctrine/dod_dictionary/data/f/18203.html
FIR,First Impressions Report,Rapport de premières impressions
FO,Forward observer,Observateur avancé
FOB,Forward Operating Base,Base avancée de commandement
FP,Firing point,Pas de tir,je propose : point d’inflammation (ref à l’ignition d’un moteur ou d’une charge explosive; check out : http://www.dtic.mil/doctrine/dod_dictionary/data/f/18203.html)
fps,Facility protection service,Force paramilitaire iraquienne en charge de la protection du gouv iraquien/infrastructures/personnels,http://en.wikipedia.org/wiki/Facilities_Protection_Service
FRA BG,French battle group,Groupe de combat français
FSB,Forward Support Base,Base avancée de soutien/assistance
FT,Feet,Pieds (distance)
GBU,Guided Bomb Unit,bombe guidée,GBU semble être le terme général pour regrouper tous les types de bombes guidées (laser; radio; infrarouge; etc...)
GBU-12,"500lb laser-guided ""smart bomb""",bombe guidée laser intelligente de 250kg,500 livres
GBU-31,"2;000lb ""smart bomb’",bombe intelligente 1 tonne, 2000 livres
GBU-38,GPS/laser guided 500lb ’smart’ bomb,bombe guidée gps intelligente 250kg
GCTF,Global Counter Terrorism Forces,Forces globales de lutte contre le terrorisme
GEN,General,Général
GHZ,Ghazni,(ville de ou province de) Ghazni
GIRoA,Government of the Islamic Republic of Afghanistan,Gouvernement de la république islamique d’afghanistan
GMLRS,Multiple rocket launcher,Lanceur de roquettes
Green on green,Fighting between Afghan forces,Combat entre forces afghanes
GSW,Gunshot wound,Blessure par balle
GTZ,Gesellschaft für Technische Zusammenarbeit,Entreprise de coopération internationale,http://www.gtz.de/fr/index.htm
GT R2RR,Canadian troops: tactical group:2nd bn 22nd royal regiment,Troupes canadiennes: groupe tactique:deuxième bataillon vingt-deuxième régiment royal
HELOS,Helicopters,Hélicoptères
HHB,Headquarters and Headquarters Battalion,Quartier Général et Quartier Général du Bataillon
HIG,Hezb-e-Islami Gulbuddin,Faction majeure du parti Afghan Hezbi Islami
HIMARS,latest GPS-guided multiple rocket system; mounted on v. mobile truck [carries GMLRS qv],lanceur de roquettes monté sur un camion avec guidage GPS,GMLRS est un lanceur de roquettes multiple (un module) --- qv ?? loc latine peut-être ? quantum vis (=autant que vs voulez) ?
HLZ,helicopter landing zone,Zone d’atterrisage d’hélicoptère
HMG,UK government (HM Government),Gouvernement du Royaume-Unis
HMLA-169,US Marines light attack helicopter squadron,Escadron d'hélicoptères de types Cobra et Huey,http://en.wikipedia.org/wiki/HMLA-169
HRS,Hours,Heure
HRT,hostage rescue team,Equipe de sauvetage d’otage
HVI,High-value Individual,Individu de haute importance
HWY,Highway,Autoroute
IAW,In accordance with,En accord avec
IAW EOF SOP,in accordance with escalation of force standard operating procedure,"En accord avec la procedure standard de ""riposte graduée"" ?","escalation of force serait un processus de décision militaire qui permet de choisir un ""niveau de ""force"" à utiliser en fonction de l'attaque/situation - j'ai aussi trouvé une page sur les ""kit"" EOF :http://www.adsinc.com/eof-kits"
ICOM,Radio,Radio
IDF,indirect fire,Tirs indirects
IED,Improvised explosive device,bombe artisanale (improvisée)
Illum,Illumination mortar; fired to provide light,Fusées de mortier; destinées à offrir de la visibilité
INF,Infantry,Infanterie
INFIL,Infiltrate,infiltrés
INS,Insurgents,rebelles,dépend contexte (adjectif ou nom)
INTREP,Intelligence report,Rapport des services de Renseignements
INTSUM,Intelligence summary,compte rendu des (services de) Renseignements
IO,Information operations,Guerre de l'information,ref : http://www.dtic.mil/doctrine/dod_dictionary/data/i/10085.html ---- http://en.wikipedia.org/wiki/Information_operation ---- Autres possibilités : information objectives; intelligence oversight
IOT,In order to,afin de 
IR,Incident Report,Rapport d’incident
ir,infrared,infrarouge,ou Iranian = Iranien
IR STROBE,Infrared Strobe,lampe à infrarouge
IRoA,Islamic Republic of Afghanistan,république islamique d’Afghanistan
IRT,Incident Response Team,Equipe de réaction rapide,j’ai trouvé Initial Response Team (équipe de riposte intiale ? commando de 1ere riposte?)
ISAF,International Security Assistance Force,Coalition de l’OTAN en Afghanistan,http://fr.wikipedia.org/wiki/Force_internationale_d%27assistance_et_de_s%C3%A9curit%C3%A9
ISN,Internment [or Insurgent] serial Number,Numéro de détenu
ISO,In support of,en soutien à,dépend contexte : 1-apporter une aide supplémentaire sur le terrain 2- soutenir ou approuver une décision 
ISR,Intelligence; surveillance and reconnaissance,renseignement; surveillance; reconnaissance
IVO,In vicinity of,Dans le voisinage (zone) de...
J COY 42 CDO,J company 42 Commando Royal Marines,42ème commando de la compagnie des Royal Marines (UK),(unité d'infanterie)
JAF,Jalalabad Air Field,terrain d’aviation de Jalalabad
JAG,Judge Advocate General (Army legal team),Equipe légale de l'armée US
JBAD,Jalalabad,(ville de) Jalalabad
JDAM,Joint Direct Attack Munition,bombe guidée par GPS ,http://fr.wikipedia.org/wiki/Joint_Direct_Attack_Munition
JDCC,Joint District Coordination Center,Centre de coordination (interarmées?),"selon contexte traduire JOINT par ""interarmées"" ""regroupement""; "
JDOC,Joint Defense Operations Center,Centre des opérations de sécurité (interarmées),"Defense : sécurité ou défense ---- selon contexte traduire JOINT par ""interarmées"" ""regroupement"""
JEL,Joint Effects List [hit list],liste de cibles à tuer ou à capturer
Jingle trucks,Brightly decorated trucks covered in bells common across central Asia,camions richement décorés et couverts de clochettes; très communs en asie centrale
JOC,joint ops centre,centre de regroupement des  opérations
JPEL,Joint Prioritised Effects List [hit list],liste prioritaire de cibles à tuer ou à capturer
JTAC,Joint terminal air controller,Terminal des contrôleurs aériens,"selon contexte traduire JOINT par ""interarmées"" ""regroupement"" (autres suggestions ?)"
JUGROOM,Fort; Garmsir; Afghanistan,(village de) Garmsir,FORT ???? ---- http://en.wikipedia.org/wiki/Garmsir
KAF,Kandahar Air Field,terrain d’aviation de Kandahar
KAIA,Kabul international airport,aéroport international de Kaboul
KDZ,Kunduz,(ville de ) Kunduz,http://en.wikipedia.org/wiki/Kunduz
KIA,Killed in action,tué au combat
KJI,Kajaki,(district de) Kajaki,http://en.wikipedia.org/wiki/Kajaki_District
KMTC,Kabul military training cetnre,centre d’entrainement militaire de Kaboul
KPF,Khowst Provisional Forces,Forces Provisoires de Khowst,http://en.wikipedia.org/wiki/Khost (Khost ou Khowst)
KPRT,Kandahar Provincial Reconstruction Team,Equipe de reconstructuion de la province de Kandahar
L:,Location (in relation to S; A; L; T),Lieu (en fonction de Taille; Activité; Lieu; Heure)
LBS,Pounds,Livre (=453 grammes)
LEP,Law Enforcement Professionals,professionnels du maintien de l’ordre
Line 1,Location of the pick-up site.,"lieu du ""ramassage"""
Line 2,Radio frequency; call sign; and suffix.,fréquence radio; signal (d’appel) et suffixe
Line 3,Number of patients by precedence: A to E with A being most urgent,Nb de patients par ordre de priorité de A à E; considérant que A est le plus urgent,Nb pour Nombre
Line 4,Special equipment required,Equipement spécial requis
Litter,Stretcher used by medics,brancard utilisé par les médecins
LKG,Lashkar Ghar,(ville de Lahskar Ghar),au sud de l’Afghanistan http://en.wikipedia.org/wiki/Lashkar_Gah
LN,Local national,,Ln could stand for Lead Nation : http://www.dtic.mil/doctrine/dod_dictionary/?zoom_query=LN&zoom_sort=0&zoom_per_page=10&zoom_and=1
LNO,Liaison Officer,officier de liaison
LTC,Lieutenant Colonel,Lieutenant colonel
Luna,German drone,drone allemand,http://www.army-technology.com/projects/luna/
LZ,Landing Zone,zone d’atterrissage
m240b,Belgian-made machine gun,Mitrailleuse d'origine belge
M249,light machine gun,arme à feu automatique légère
M4,semi-automatic carabine,carabine semi-automatique
MAJ,Major,Major,contexte ? désigne l’officier : major/commandant ; ou bien qualificatif d’un évènement (crucial; grave; important; sérieux....)
MAR,Marine,Marine,Les Marines (corps d’armée)
MARSOC,Marine Special Operations Command,Commandement des Opérations Spéciales de Marines
MEDOPS,Medical Operations,Opérations médicales
MED TM,Medical Team,Équipe médicale
MEDCAP,Medical Civil Action Program,Programme Civil d'Action Médicale ?,Centres médicaux pour les populations locales. Organisé par la CJSOTF
MEDEVAC,Medical evacuation,Évacuation médicale
MES,Mazar-e-Sharif,Ville de Mazar-e-Sharif
MEY PRT,Meymaneh provincial reconstruction team,Équipe provinciale de reconstruction de Meymaneh
MG,Machine Gun,Mitrailleuse
MHL,Mehtar Lam,(ville de Methar Lam ou Mitharlam),http://en.wikipedia.org/wiki/Mihtarlam
MM,Military Message,message militaire
MOD,Ministry of Defence,Ministère de la défense
MOI,Afghanistan’s Ministry of Interior,Ministère de l’intérieur afghan,ou Ministry Of Information selon contexte = Ministère de l'information
MOT,Military Observation Team,,"Reconnaissance/Liaison avec la population; ""amélioration de la situation pour les populations locales"""
MP,Military Police,Police militaire
MS,Military support,Soutien (Renfort) militaire
MSN,Nurse (with a masters),Infirmière qualifiée
MSR,main supply route,route principale d’approvisionnement
MTF,More to follow,d’autres (informations) sont à suivre
MTT,military training team,,contexte ? Mobile Training Team ? ; Magnetic Tape Transport ? http://www.dtic.mil/doctrine/dod_dictionary/?zoom_query=MTT&zoom_sort=0&zoom_per_page=10&zoom_and=1
N/I C,Nato/ISAF Confidential,Confidentiel OTAN/ISAF
NAI,Named areas of interest,Zones d'intérêt
NC,non-combatant,non-combattant
NCO,Non-commissioned officer,sergent (ou contremaître??),question de rangs dans l’armée US : commissioned officers > warrant officers > noncommissioned officers
NDS,Afghan intelligence [national directorate of security],Renseignement afghan 
NFI,Not Further Identified,Pas encore identifié ?
NFTR,Nothing further to report,Rien d’autre à ajouter (rapporter)
NGO,Nongovernmental Organization,Organisation Non Gouvernementale,ONG
NMC,non mission-capable,impossibilité d'executer la mission,lorsqu'une unité ou un commandement n'a pas les moyens/capacités/qualités/équipement requise pour accomplir ou mener à bien une mission donnée (faire une 2ème vérif)
NOFORN,no foreigners [secrecy classification],pas d’étrangers (classification secrète)
NSTR,Nothing significant to report,rien de significatif à ajouter (rapporter)
OBJ,Objective,Objectif
OC,Outcome,Résultat
OCC- P,operational command centre - provincial,Centre de commande opérationnel - en province
OCCD,Operational Coordination Center District,Centre de commande des opérations principal (d'Arghandab ?),le principal OCCD serait celui d'Arghandab et les autres OCC-P seraient les centres secondaires ??? http://www.foreignpolicy.com/articles/2010/04/05/the_things_i_forgot_to_carry
ODA,Operational Detachment (Alpha) - special forces,Troupes d'élites (A-Teams),"un ODA est composé de 12 hommes; chacun a une spécialité ---- citation : ""Un SFG compte en théorie 1 400 hommes; répartis en 4 compagnies d'appui (commandement; logistique; transmissions; renseignements) et 3 bataillons  de combat rassemblant chacun 1 compagnie de commandement et 3 compagnies de combat ; celles-ci comprennent 1 cellule de commandement et 6 ODA de 12 hommes. Les ODA (operational detachment alpha); communément appelés « A-Teams » (« équipes A »); sont le pion de base des Special Forces"" --- source :http://fr.wikipedia.org/wiki/Special_Forces#Organisation"
OGA,Other Government Agency (usually CIA),Autre agence governementale (souvent la CIA)
OIC,Officer in charge,Officier en charge
OMF,Opposing Militant Forces,Forces d'opposition militante,Terme générique? Rebelles/militants/extrémistes
Op,Operation,Opération
OP,Observation Post,Poste d’observation
OP grid,Operation/Observation post map coordinates,,pls propositions de trad : Centre des opérations cartographiques/Centre ou Poste de géolocalisation/ ? (géolocalisation; photographies de lieux; graphiques; coordonnées etc...)
OPSUM,Operations Summary,Résumé des opérations
ORSA,operations research and systems analysis,Système de recherche et d’analyse des opérations
PA,Physician Assistant,médecin assistant
PAK,Pakistan,Pakistan / Pakistanais
PAKMIL,Pakistan military,Militaire Pakistanais
PAO,Public Affairs Officer,Officier en charge des 
PAX,Passengers/People,Passagers/Personnes
PB,Patrol Base,Base de patrouille
PBG,Polish battle group,Groupe de combat polonais
PEF,poppy eradication force [afghan police],force d’élimination du pavot (police afghane)
PEN,Penich (outpost),avant-poste de Penich,(si Penich est bien un lieu!)
PHQ,Police headquarters (in reference to ANP),QG des forces de police (en référence à la Police Nationale Afghane)
PID,positive i.d.,identité vérifiée/validée
PIR,Passive Infrared,Infrarouge passif
PKM,Russian-made machine gun,Mitrailleuse de fabrication russe
PL,Platoon,section,plutôt : Phase Line (Ligne Imaginaire) :A line utilized for control and coordination of military operations; usually an easily identified feature in the operational area. Also called PL.
PLT,Platoon,section,section d’un corps d’armée ou corps des Marines
PLT SJT,Platoon Seargant,sergent de section
PMT,Police Mentor Team,coach de la police afghane
PoA,President of Afghanistan,Président de l’Afghanistan
poc,point of contact,point de contact
POI,point of impact,point d’impact
POO,Point of origin / Point of Operation,point d’origine,ou Point d'opération
PRED,Predator drone,"Drone ""Predator"""
PRO COY,protection company,Compagnie de protection
PRT,Provincial Reconstruction Team,Équipe provinciale de reconstruction,http://fr.wikipedia.org/wiki/%C3%89quipe_provinciale_de_reconstruction
PRT CDR,Provincial Reconstruction Team Commander,Commandement d'équipe provinciale de reconstruction
PSO,Post Security Officer,(rang/grade au sein des Marines),PSO peut aussi être l’acronyme de Peace Support Operations 
PT,Patient,Patient
PTS,Peace Through Strength (PTS) reconciliation process,Paix Armée,(doctrine militaire : http://en.wikipedia.org/wiki/Peace_through_strength)
PTSD,Post Traumatic Stress Disorder ?,Syndrome de Stress Post-traumatique,"Traduction incertaine. ""MONITORING SITUATION ON PTSD"" (report key: 0x080e000001239e2eb32e160d76bc9417)"
PUC,Person Under Control,Personne sous contrôle / maitrisée
QRF,Quick Response Force,Force de réaction rapide
RB,Road block,Barrage routier
RC (N),Regional Command North,Commandement régional Nord
RC CENTRAL,Regional Command Central,Commandement régional Centre
RC(E) / RC East,Regional Command East,Commandement régional Est,Zone sous commandement de la 82nd US Airborne Division dans laquelle évolue la quasi-totalité des forces françaises depuis mi-2008
RC(W),Regional Command West,Commandement régional Ouest
RC=S / RC(S),Regional Command South,Commandement régional Sud
RCAG,Regional Corps Assistance Group,Corps militaire chargé d'assister/conseiller d'autres corps de l'armée afghane (niveau régional),"RCAG serait la version ""régionale"" du CCAG : soit; une section de l'Armée Nationale Afghane (ANA - Afghanistan National Army) issue des Embedded Training Teams (ETT) (équipes formées et incorporées) en charge de former/conseiller d'autres corps de l'Armée afghane ----- toute l'explication ici : (http://www.globalsecurity.org/military/agency/dod/cjtf-phoenix.htm )"
RCC / RC(C),Regional Command Capital,Région de Commandement-Capitale,http://fr.wikipedia.org/wiki/R%C3%A9gion_de_Commandement_-_Capitale
RCP,Route clearance Patrol,Patrouille de reconnaissance
rds/RDS,Rounds,nb de coups de feu par arme et par minute,contexte ? http://www.dtic.mil/doctrine/dod_dictionary/?zoom_query=rounds&zoom_sort=0&zoom_per_page=10&zoom_and=1 Cartouche convient mieux suivant le contexte.
RECON,Reconnaissance,Reconnaissance
rfs,Resident Field Squadron,,"ou rfs = Request For Service ? Dans le cas de REsident Field Squadron ce serait lié à la Royal Air Force britannique; un commando chargé de la protection des avions de la RAF : ""The field squadrons; known as the Resident Field Squadrons (RFS); (...)extensive vehicle and foot patrols (...) they also escorted the various weapons convoys and protected RAF aircraft"" : source http://www.raf.mod.uk/rafmarham/aboutus/3fpwghq.cfm"
RG,US armoured vehicle,Vehicule blindé US
RGR,Royal Gurkha rifles,fusils royal Gurkha
ROE,Rules of engagement,Règles d’engagement
Role 3,Surgical facility,poste chirurgical
RPG,Rocket propelled grenade,Lance-roquettes
RPK,Light machine gun; Kalashnikov (Ruchnoi Pulemyot Kalashnikova),Mitrailleuse légère; Kalashnikov
RPT,Report,Rapport
RTB,Return to base,Retour à la base
RTC,Regional Training Center,Centre d'entrainement régional,Police afghane?
RTE,Route,Route
RTF,Reconstruction Task Force [Australian at TF Uruzgan],Force d’intervention pour la reconstruction
S-2,Intelligence staff officer,Officier de renseignement ,Collecte d'informations sur le champ de bataille; préparation des opérations; sécurité de l'unité
S-5,Staff member responsible for civil-military operations,Personnel en charge des opérations civilo-militaires
S//REL,"Secret or Selective release? (context - ""S//REL TO USA; AFG; GCTF; ISAF; NATO"")",Communiqué en mode secret ou sélectif à...
SA,Surface-to-Air,Sol-Air
SAF,Small ams fire/Surface to air fire,Tirs d'armes légères,SAF ou SAFIRE
SAW,Squad Automatic Weapon [ machine gun],Mitrailleuse
SC-26,Scorpion 26 - US special forces unit in Helmand,Unité spéciale des forces américaines,Helmand (lieu)
SCIDA,Site Configuration and Installation Design Authority,(agences chargées de...) Installation de systèmes de protection et sécurisation des données,"(sauf erreur) il faut comprendre ceci : c'est une ""autorité"" chargée de la sécurisation de réseaux; bureaux; lieux d'évènements avec des systèmes informatiques à données sensibles (explications en anglais : http://www.aof.mod.uk/aofcontent/tactical/mands/content/secure_network.htm) --- Il me semblerait que SCIDA soit une norme; ou une procédure; puisque des groupes privés comme le britannique CDS sont ""agrées"" SCIDA : télécharger leurs brochures et mettre Scida dans la barre de recherche de votre pdf : http://www.cds.co.uk/downloads.asp) --- (Note : le CDS uk group est spécialisé en Defence Support mais aussi en...journalisme !?!)"
SEWOC,Sigint Electronic Warfare Operational Centre,Cellule de guerre électronique de niveau opératif ,Gestion de l’espace électromagnétique; emploi des moyens de guerre électronique...
SFG,special forces group,Groupe des forces spéciales
Shura,Meeting of tribal elders and Afghan leaders,Réunion des chefs (anciens) tribaux et leaders afghans
SIED,Suicide IED,Attentat suicide,ied : Improvised_explosive_device
SIGACT,Significant activity,Activité significative
SIR,Serious Incident Report,Rapport d’incident sérieux
sof,Special ops force,Les Forces Spéciales
SOG,Special ops group,Groupe des Forces Spéciales,http://en.wikipedia.org/wiki/Special_operations_forces
Solatia,Payments to civilian victims of US attacks (or their families),Compensations financières payées aux victimes civiles des troupes américaines (ou à leurs familles) 
SOP,Standard Operating Procedure,Instructions permamentes
SOTF,Special Operations Task Force,Force Opérationnelle des Forces Spéciales (meilleure proposition de trad ?),Task Force = force opérationnelle --- Special Opérations = Forces Spéciales
SOTG,Special ops taskgroup,Groupe de travail des Forces Spéciales
SPC,Specialist,spécialiste
SQD,Squadron,escadron
sqn,Squadron,escadron
Squirter,Someone running for cover,Quelqu’un courant s’abriter
SSE,Sensitive site exploitation,Exploitation de site sensible
SVBIED,suicide vehicle-borne IED,Attentat suicide véhicule piégé
SWO,Surface warfare officer,Officier (qualifié) de la marine américaine,http://en.wikipedia.org/wiki/Surface_Warfare_Officer
SWT,Scout weapons team,,"Equipe armée qui part en reconnaissance ?    ou alors un lien avec l’aviation ? (""Scout"" est un terme très utilisé dans les noms d’engins de l’aviation ==> http://www.worldlingo.com/ma/enwiki/fr/Scout )"
TAC,Tactical Air Controller,Contrôleur aérien militaire
TB,Taliban,Taliban
TBC,To be confirmed,à confirmer
TBD,To be decided,à décider
TCP,Traffic control point,Point de contrôle du trafic
TERP,Interpreter,interprète
TF,Task force,Unité opérationnelle,ou : force d’intervention
TF373,task force 373 [special ops],Unité opérationnelle 373 (forces spéciales)
TFK,Task Force Kandahar,force d’intervention de Kandahar
TG,Tactical Group,groupe tactique
TG AREs,Tactical group Ares,groupe tactique Ares
Thready,Pulse that is very fine and scarcely perceptible.,pouls faible et à peine perceptible
THT,Tactical Human Intelligence Team,Renseignement humain militaire,HUMINT : renseignement humain  (trad de l'adjectif Tactical par Militaire en français par opp. civil)
TIC,Troops in contact,Troupes au contact,AUTRE POSSIBILITE : target information center; toxic industrial chemical (ref : http://www.dtic.mil/doctrine/dod_dictionary/?zoom_query=TIC&zoom_sort=0&zoom_per_page=10&zoom_and=1 // A la lecture des rapports il semble bien que ce soit Troops in Contact
Toc,tactical op center,Centre des opérations tactiques
TTPs,tactics; techniques; and procedures,tactiques; techniques et procédures
UAH,Up-armoured Humvee,Char blindé (type de char Humvee),http://www.globalsecurity.org/military/systems/ground/hmmwvua.htm
UAV,Unmanned aerial vehicle [drone],Drone
UH-1N,US Twin Huey transport/communications helicopter,(type d’)helicopter Twin Huey
UH-60,Black Hawk helicopter,Hélicoptère Black Hawk
UI,Unidentified Individual,Individu non identifié
UN,United Nations,Nations Unies
UNAMA,United Nations Assistance Mission in Afghanistan,Mission d’assistance des nations unis en Afghanistan
UNHCR,Unites Nations High Commission For Refugees,Haut Commissariat des Nations unies pour les réfugiés
UNK,Unknown,inconnu
usfor-a,United States Forces Afghanistan,Forces armées Américaines-Afghanistan
UXO,unexploded ordnance [or unfired],Pièce d’artillerie non explosées (ou non tirées),ou munition
